
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   4.764564e+07   2.797800e+05
  2.784400e-02   7.401932e+06   6.095688e+04
  3.048740e-02   3.223843e+06   3.769610e+04
  3.313080e-02   1.533801e+06   2.428494e+04
  3.577420e-02   6.910813e+05   1.520789e+04
  3.841750e-02   5.032842e+05   1.309997e+04
  4.106090e-02   3.491024e+05   1.000708e+04
  4.370430e-02   2.747487e+05   8.808040e+03
  4.634770e-02   2.366437e+05   7.602090e+03
  4.899110e-02   2.208293e+05   6.976263e+03
  5.163450e-02   1.765158e+05   6.090375e+03
  5.427790e-02   1.631944e+05   5.458036e+03
  5.692130e-02   1.556815e+05   5.413577e+03
  5.956470e-02   1.395080e+05   4.854104e+03
  6.220810e-02   1.251476e+05   4.341323e+03
  6.485140e-02   1.192109e+05   4.347173e+03
  6.749480e-02   1.127077e+05   3.943143e+03
  7.013820e-02   1.182376e+05   4.069906e+03
  7.278160e-02   1.022351e+05   3.632766e+03
  7.542500e-02   1.031086e+05   3.572502e+03
  7.806840e-02   1.000623e+05   3.483722e+03
  8.071180e-02   9.597920e+04   3.252131e+03
  8.335520e-02   9.338998e+04   3.237715e+03
  8.599860e-02   9.361643e+04   3.136269e+03
  8.864200e-02   8.411223e+04   3.063187e+03
  9.128530e-02   8.418568e+04   3.074026e+03
  9.392870e-02   7.849617e+04   2.950067e+03
  9.657210e-02   7.849964e+04   2.977661e+03
  9.921550e-02   7.881943e+04   2.929301e+03
  1.018590e-01   7.730740e+04   2.936665e+03
  1.045020e-01   7.817130e+04   2.865899e+03
  1.071460e-01   7.069286e+04   2.741352e+03
  1.097890e-01   7.117873e+04   2.809201e+03
  1.124320e-01   7.628122e+04   2.759758e+03
  1.150760e-01   6.932651e+04   2.660507e+03
  1.177190e-01   7.081419e+04   2.637258e+03
  1.203630e-01   7.290004e+04   2.728216e+03
  1.230060e-01   7.035842e+04   2.672695e+03
  1.256490e-01   7.247867e+04   2.632544e+03
  1.282930e-01   6.888122e+04   2.552908e+03
  1.309360e-01   6.264911e+04   2.409581e+03
  1.335800e-01   6.793505e+04   2.535314e+03
  1.362230e-01   6.697218e+04   2.435755e+03
  1.388660e-01   6.863656e+04   2.502918e+03
  1.415100e-01   6.819234e+04   2.463889e+03
  1.441530e-01   6.592411e+04   2.365014e+03
  1.467970e-01   6.456742e+04   2.379987e+03
  1.494400e-01   6.354033e+04   2.289834e+03
  1.520830e-01   6.418043e+04   2.328069e+03
  1.547270e-01   6.300281e+04   2.285352e+03
  1.573700e-01   6.321099e+04   2.263316e+03
  1.600130e-01   6.404413e+04   2.253065e+03
  1.626570e-01   6.598151e+04   2.252572e+03
  1.653000e-01   6.261741e+04   2.227827e+03
  1.679440e-01   6.389423e+04   2.198028e+03
  1.705870e-01   6.176458e+04   2.170186e+03
  1.732300e-01   6.336306e+04   2.170783e+03
  1.758740e-01   6.129680e+04   2.126362e+03
  1.785170e-01   5.849381e+04   2.077176e+03
  1.811610e-01   6.370858e+04   2.116576e+03
  1.838040e-01   6.094680e+04   2.111681e+03
  1.864470e-01   6.169846e+04   2.086981e+03
  1.890910e-01   5.909429e+04   2.015099e+03
  1.917340e-01   6.017029e+04   2.041137e+03
  1.943780e-01   5.793625e+04   1.961969e+03
  1.970210e-01   6.148587e+04   2.063331e+03
  1.996640e-01   5.957020e+04   1.996798e+03
  2.023080e-01   5.979659e+04   1.993220e+03
  2.049510e-01   5.728077e+04   1.912549e+03
  2.075950e-01   5.878044e+04   1.917207e+03
  2.102380e-01   6.273145e+04   2.019397e+03
  2.128810e-01   6.194327e+04   1.941423e+03
  2.155250e-01   5.780476e+04   1.907841e+03
