
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.719410e+07   2.785974e+05
  2.784400e-02   7.295137e+06   6.054733e+04
  3.048740e-02   3.127953e+06   3.715076e+04
  3.313080e-02   1.412626e+06   2.331816e+04
  3.577420e-02   6.311698e+05   1.454138e+04
  3.841750e-02   4.369112e+05   1.221204e+04
  4.106090e-02   3.112776e+05   9.454382e+03
  4.370430e-02   2.185036e+05   7.859028e+03
  4.634770e-02   1.901984e+05   6.818944e+03
  4.899110e-02   1.473743e+05   5.702082e+03
  5.163450e-02   1.257945e+05   5.144121e+03
  5.427790e-02   1.111034e+05   4.505839e+03
  5.692130e-02   9.761523e+04   4.288967e+03
  5.956470e-02   7.997172e+04   3.677104e+03
  6.220810e-02   6.919752e+04   3.229863e+03
  6.485140e-02   6.617444e+04   3.240576e+03
  6.749480e-02   5.744882e+04   2.816660e+03
  7.013820e-02   5.132754e+04   2.682933e+03
  7.278160e-02   5.246348e+04   2.603719e+03
  7.542500e-02   4.894443e+04   2.462662e+03
  7.806840e-02   4.504501e+04   2.338621e+03
  8.071180e-02   3.596109e+04   1.991700e+03
  8.335520e-02   3.842902e+04   2.078003e+03
  8.599860e-02   3.323669e+04   1.869710e+03
  8.864200e-02   3.305489e+04   1.921277e+03
  9.128530e-02   3.179945e+04   1.890281e+03
  9.392870e-02   2.341822e+04   1.612177e+03
  9.657210e-02   2.555333e+04   1.699782e+03
  9.921550e-02   2.561055e+04   1.670648e+03
  1.018590e-01   2.333944e+04   1.614422e+03
  1.045020e-01   2.387572e+04   1.584687e+03
  1.071460e-01   2.415661e+04   1.603331e+03
  1.097890e-01   1.986664e+04   1.484903e+03
  1.124320e-01   2.028974e+04   1.424061e+03
  1.150760e-01   1.941956e+04   1.408843e+03
  1.177190e-01   2.074549e+04   1.428178e+03
  1.203630e-01   1.819306e+04   1.363628e+03
  1.230060e-01   1.931046e+04   1.400928e+03
  1.256490e-01   1.789942e+04   1.308935e+03
  1.282930e-01   1.591237e+04   1.227666e+03
  1.309360e-01   1.577151e+04   1.209620e+03
  1.335800e-01   1.344974e+04   1.128678e+03
  1.362230e-01   1.578516e+04   1.183148e+03
  1.388660e-01   1.726854e+04   1.256102e+03
  1.415100e-01   1.514998e+04   1.161950e+03
  1.441530e-01   1.520311e+04   1.136334e+03
  1.467970e-01   1.282167e+04   1.061129e+03
  1.494400e-01   1.288664e+04   1.031757e+03
  1.520830e-01   1.454031e+04   1.108688e+03
  1.547270e-01   1.377560e+04   1.069194e+03
  1.573700e-01   1.297998e+04   1.026158e+03
  1.600130e-01   1.142580e+04   9.521502e+02
  1.626570e-01   1.062357e+04   9.043379e+02
  1.653000e-01   1.253664e+04   9.973619e+02
  1.679440e-01   1.082423e+04   9.051680e+02
  1.705870e-01   1.236590e+04   9.715569e+02
  1.732300e-01   1.228391e+04   9.563014e+02
  1.758740e-01   1.292204e+04   9.768143e+02
  1.785170e-01   1.218364e+04   9.484948e+02
  1.811610e-01   1.210750e+04   9.231880e+02
  1.838040e-01   1.406253e+04   1.014875e+03
  1.864470e-01   1.215479e+04   9.267942e+02
  1.890910e-01   1.121220e+04   8.782075e+02
  1.917340e-01   1.178331e+04   9.037390e+02
  1.943780e-01   1.097423e+04   8.543428e+02
  1.970210e-01   1.060498e+04   8.573621e+02
  1.996640e-01   1.018448e+04   8.260705e+02
  2.023080e-01   1.356814e+04   9.499599e+02
  2.049510e-01   1.195403e+04   8.741650e+02
  2.075950e-01   1.133026e+04   8.421715e+02
  2.102380e-01   1.138813e+04   8.608615e+02
  2.128810e-01   1.120780e+04   8.262501e+02
  2.155250e-01   1.103101e+04   8.338659e+02
  2.181680e-01   1.038204e+04   8.033861e+02
  2.208110e-01   1.112343e+04   8.245235e+02
  2.234550e-01   1.193623e+04   8.614235e+02
  2.260980e-01   1.161316e+04   8.232352e+02
  2.287420e-01   1.064168e+04   7.931839e+02
  2.313850e-01   1.206057e+04   8.362500e+02
  2.340280e-01   1.094670e+04   7.941567e+02
  2.366720e-01   1.102959e+04   8.022843e+02
  2.393150e-01   1.019361e+04   7.556005e+02
  2.419590e-01   1.072896e+04   7.824899e+02
  2.446020e-01   1.196948e+04   8.088223e+02
  2.472450e-01   1.037727e+04   7.588611e+02
  2.498890e-01   1.078812e+04   7.725536e+02
  2.525320e-01   1.117376e+04   7.710629e+02
  2.551760e-01   1.043276e+04   7.608874e+02
  2.578190e-01   1.187212e+04   7.811283e+02
  2.604620e-01   1.101182e+04   7.598881e+02
  2.631060e-01   1.188373e+04   7.940150e+02
  2.657490e-01   1.131971e+04   7.649148e+02
  2.683920e-01   1.089622e+04   7.537073e+02
  2.710360e-01   1.153043e+04   7.570101e+02
  2.736790e-01   1.041749e+04   7.275888e+02
  2.763230e-01   1.038733e+04   7.185067e+02
  2.789660e-01   1.104183e+04   7.377632e+02
  2.816090e-01   1.038000e+04   7.162879e+02
  2.842530e-01   1.069005e+04   7.190906e+02
  2.868960e-01   1.030242e+04   7.126334e+02
  2.895400e-01   1.102411e+04   7.206689e+02
  2.921830e-01   1.174485e+04   7.457986e+02
  2.948260e-01   1.063609e+04   7.106538e+02
  2.974700e-01   1.053746e+04   7.009412e+02
  3.001130e-01   1.103447e+04   7.228924e+02
  3.027570e-01   1.096279e+04   7.032631e+02
  3.054000e-01   9.712901e+03   6.686637e+02
  3.080430e-01   1.016491e+04   6.746688e+02
  3.106870e-01   1.164941e+04   7.295146e+02
  3.133300e-01   1.029307e+04   6.772344e+02
  3.159740e-01   1.125844e+04   6.955488e+02
  3.186170e-01   9.000868e+03   6.332989e+02
  3.212600e-01   1.085451e+04   6.837700e+02
  3.239040e-01   1.098529e+04   6.920082e+02
  3.265470e-01   1.252444e+04   7.380096e+02
  3.291900e-01   1.065397e+04   6.671773e+02
  3.318340e-01   1.060349e+04   6.774322e+02
  3.344770e-01   1.020723e+04   6.507889e+02
  3.371210e-01   1.049353e+04   6.636694e+02
  3.397640e-01   9.949970e+03   6.396083e+02
  3.424070e-01   9.794154e+03   6.295920e+02
  3.450510e-01   1.031973e+04   6.566284e+02
  3.476940e-01   1.166643e+04   6.780977e+02
  3.503380e-01   9.249153e+03   6.138878e+02
  3.529810e-01   1.073391e+04   6.569044e+02
  3.556240e-01   1.135659e+04   6.727065e+02
  3.582680e-01   9.975701e+03   6.284101e+02
  3.609110e-01   1.105552e+04   6.537267e+02
  3.635550e-01   1.067400e+04   6.472061e+02
  3.661980e-01   1.154006e+04   6.629592e+02
  3.688410e-01   1.012779e+04   6.256967e+02
  3.714850e-01   1.054352e+04   6.323581e+02
  3.741280e-01   9.891673e+03   6.099467e+02
  3.767710e-01   1.059443e+04   6.365578e+02
  3.794150e-01   1.065474e+04   6.278363e+02
  3.820580e-01   1.019256e+04   6.191539e+02
  3.847020e-01   1.095643e+04   6.315183e+02
  3.873450e-01   1.080272e+04   6.321813e+02
  3.899880e-01   1.098635e+04   6.342971e+02
  3.926320e-01   1.095442e+04   6.252019e+02
  3.952750e-01   1.032200e+04   6.135792e+02
  3.979190e-01   1.068524e+04   6.138511e+02
  4.005620e-01   8.973352e+03   5.686631e+02
  4.032050e-01   1.026308e+04   5.975397e+02
  4.058490e-01   1.065195e+04   6.099289e+02
  4.084920e-01   1.090457e+04   6.243936e+02
  4.111360e-01   1.065389e+04   6.070616e+02
  4.137790e-01   1.133740e+04   6.298557e+02
  4.164220e-01   1.051874e+04   6.003359e+02
  4.190660e-01   9.657524e+03   5.730686e+02
  4.217090e-01   1.089563e+04   6.109965e+02
  4.243530e-01   1.010662e+04   5.835061e+02
  4.269960e-01   1.098907e+04   6.408957e+02
  4.296390e-01   1.184876e+04   6.654928e+02
  4.322830e-01   1.114854e+04   6.747403e+02
  4.349260e-01   1.058872e+04   6.737443e+02
  4.375690e-01   9.417157e+03   6.236665e+02
  4.402130e-01   9.724382e+03   6.526578e+02
  4.428560e-01   1.067230e+04   6.804411e+02
  4.455000e-01   1.138714e+04   7.230839e+02
  4.481430e-01   1.030492e+04   6.869945e+02
  4.507860e-01   1.025912e+04   6.854661e+02
  4.534300e-01   1.049657e+04   7.125533e+02
  4.560730e-01   1.063071e+04   7.040358e+02
  4.587170e-01   1.007120e+04   6.852582e+02
