
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.647433e+07   2.756483e+05
  2.784400e-02   7.254609e+06   6.020059e+04
  3.048740e-02   3.176177e+06   3.732549e+04
  3.313080e-02   1.420366e+06   2.331289e+04
  3.577420e-02   6.227847e+05   1.440181e+04
  3.841750e-02   4.367096e+05   1.217316e+04
  4.106090e-02   2.817518e+05   8.968258e+03
  4.370430e-02   2.332320e+05   8.095602e+03
  4.634770e-02   1.810567e+05   6.633404e+03
  4.899110e-02   1.438732e+05   5.617307e+03
  5.163450e-02   1.244253e+05   5.100939e+03
  5.427790e-02   1.137180e+05   4.545085e+03
  5.692130e-02   9.160679e+04   4.142602e+03
  5.956470e-02   8.050851e+04   3.678528e+03
  6.220810e-02   7.358517e+04   3.320852e+03
  6.485140e-02   6.736171e+04   3.259861e+03
  6.749480e-02   6.040480e+04   2.879686e+03
  7.013820e-02   5.743777e+04   2.829756e+03
  7.278160e-02   5.266789e+04   2.601081e+03
  7.542500e-02   4.274317e+04   2.294573e+03
  7.806840e-02   3.850299e+04   2.155754e+03
  8.071180e-02   3.717457e+04   2.019045e+03
  8.335520e-02   3.876088e+04   2.080793e+03
  8.599860e-02   3.377257e+04   1.879156e+03
  8.864200e-02   3.141677e+04   1.867533e+03
  9.128530e-02   3.015976e+04   1.835465e+03
  9.392870e-02   2.956904e+04   1.806217e+03
  9.657210e-02   2.461581e+04   1.663383e+03
  9.921550e-02   2.188433e+04   1.539776e+03
  1.018590e-01   2.331279e+04   1.608736e+03
  1.045020e-01   2.216652e+04   1.522403e+03
  1.071460e-01   2.020573e+04   1.462035e+03
  1.097890e-01   1.941848e+04   1.463723e+03
  1.124320e-01   2.175984e+04   1.470393e+03
  1.150760e-01   2.113392e+04   1.465374e+03
  1.177190e-01   2.032992e+04   1.409626e+03
  1.203630e-01   1.839058e+04   1.366961e+03
  1.230060e-01   1.566036e+04   1.257870e+03
  1.256490e-01   1.560530e+04   1.218569e+03
  1.282930e-01   1.515942e+04   1.194730e+03
  1.309360e-01   1.411065e+04   1.140778e+03
  1.335800e-01   1.751337e+04   1.284142e+03
  1.362230e-01   1.525127e+04   1.159533e+03
  1.388660e-01   1.544094e+04   1.184266e+03
