
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   5.109289e+07   2.877206e+05
  2.784400e-02   7.644958e+06   6.152099e+04
  3.048740e-02   3.112021e+06   3.678039e+04
  3.313080e-02   1.467151e+06   2.358715e+04
  3.577420e-02   6.650516e+05   1.481555e+04
  3.841750e-02   4.896205e+05   1.283154e+04
  4.106090e-02   3.626783e+05   1.012926e+04
  4.370430e-02   2.695687e+05   8.664266e+03
  4.634770e-02   2.449420e+05   7.680735e+03
  4.899110e-02   2.138727e+05   6.818012e+03
  5.163450e-02   1.780200e+05   6.073964e+03
  5.427790e-02   1.614847e+05   5.391816e+03
  5.692130e-02   1.498223e+05   5.273993e+03
  5.956470e-02   1.439143e+05   4.896065e+03
  6.220810e-02   1.338189e+05   4.458155e+03
  6.485140e-02   1.221013e+05   4.369127e+03
  6.749480e-02   1.205415e+05   4.049670e+03
  7.013820e-02   1.091469e+05   3.883273e+03
  7.278160e-02   1.036264e+05   3.632104e+03
  7.542500e-02   1.018093e+05   3.525366e+03
  7.806840e-02   9.856325e+04   3.433613e+03
  8.071180e-02   1.000898e+05   3.298071e+03
  8.335520e-02   9.276672e+04   3.204573e+03
  8.599860e-02   9.097878e+04   3.070385e+03
  8.864200e-02   8.515301e+04   3.060762e+03
  9.128530e-02   8.557121e+04   3.077782e+03
  9.392870e-02   8.167837e+04   2.988455e+03
  9.657210e-02   8.354401e+04   3.050596e+03
  9.921550e-02   8.073908e+04   2.944251e+03
  1.018590e-01   7.657170e+04   2.902443e+03
  1.045020e-01   7.709364e+04   2.826390e+03
  1.071460e-01   7.800062e+04   2.859642e+03
  1.097890e-01   7.194694e+04   2.804784e+03
  1.124320e-01   6.942000e+04   2.614508e+03
  1.150760e-01   7.058604e+04   2.665998e+03
  1.177190e-01   7.148462e+04   2.631385e+03
  1.203630e-01   7.411030e+04   2.731742e+03
  1.230060e-01   7.159127e+04   2.677362e+03
  1.256490e-01   7.157379e+04   2.597964e+03
  1.282930e-01   6.643863e+04   2.489893e+03
  1.309360e-01   6.480159e+04   2.433675e+03
  1.335800e-01   6.681188e+04   2.496877e+03
  1.362230e-01   6.797097e+04   2.436877e+03
  1.388660e-01   6.544000e+04   2.427035e+03
  1.415100e-01   6.532072e+04   2.394774e+03
  1.441530e-01   6.844595e+04   2.393156e+03
  1.467970e-01   6.592677e+04   2.388275e+03
  1.494400e-01   6.543137e+04   2.307586e+03
  1.520830e-01   6.696014e+04   2.361502e+03
  1.547270e-01   6.172548e+04   2.246420e+03
  1.573700e-01   6.178011e+04   2.222076e+03
  1.600130e-01   6.245770e+04   2.209595e+03
  1.626570e-01   6.613368e+04   2.239569e+03
  1.653000e-01   6.472462e+04   2.249336e+03
  1.679440e-01   6.651828e+04   2.227197e+03
  1.705870e-01   6.031149e+04   2.129673e+03
  1.732300e-01   6.527664e+04   2.188078e+03
  1.758740e-01   5.863312e+04   2.065264e+03
  1.785170e-01   6.452553e+04   2.166555e+03
  1.811610e-01   6.393988e+04   2.105748e+03
  1.838040e-01   6.400306e+04   2.149012e+03
  1.864470e-01   6.335421e+04   2.100172e+03
  1.890910e-01   6.254895e+04   2.058824e+03
  1.917340e-01   6.063823e+04   2.034886e+03
  1.943780e-01   6.159323e+04   2.008950e+03
  1.970210e-01   6.029680e+04   2.029149e+03
  1.996640e-01   6.059726e+04   2.000008e+03
  2.023080e-01   5.412342e+04   1.883194e+03
  2.049510e-01   6.064764e+04   1.954343e+03
