
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.723908e+07   2.769585e+05
  2.784400e-02   7.306390e+06   6.020887e+04
  3.048740e-02   3.108791e+06   3.680138e+04
  3.313080e-02   1.416388e+06   2.320077e+04
  3.577420e-02   6.380563e+05   1.452757e+04
  3.841750e-02   4.701310e+05   1.258728e+04
  4.106090e-02   2.917396e+05   9.094686e+03
  4.370430e-02   2.129439e+05   7.709085e+03
  4.634770e-02   1.938226e+05   6.839851e+03
  4.899110e-02   1.561802e+05   5.832655e+03
  5.163450e-02   1.293928e+05   5.184014e+03
  5.427790e-02   1.044633e+05   4.341348e+03
  5.692130e-02   9.786673e+04   4.267192e+03
  5.956470e-02   8.413318e+04   3.747590e+03
  6.220810e-02   7.382798e+04   3.314974e+03
  6.485140e-02   6.408244e+04   3.168673e+03
  6.749480e-02   6.162937e+04   2.898802e+03
  7.013820e-02   5.026173e+04   2.638057e+03
  7.278160e-02   5.435032e+04   2.633282e+03
  7.542500e-02   4.710082e+04   2.400480e+03
  7.806840e-02   4.195680e+04   2.242685e+03
  8.071180e-02   3.713908e+04   2.011194e+03
  8.335520e-02   3.483568e+04   1.965891e+03
  8.599860e-02   3.510014e+04   1.909196e+03
  8.864200e-02   2.954883e+04   1.804982e+03
  9.128530e-02   2.984331e+04   1.819579e+03
  9.392870e-02   2.925797e+04   1.790559e+03
  9.657210e-02   2.534116e+04   1.681952e+03
  9.921550e-02   2.646961e+04   1.687641e+03
  1.018590e-01   2.348471e+04   1.609146e+03
  1.045020e-01   1.983469e+04   1.435188e+03
  1.071460e-01   2.311502e+04   1.558414e+03
  1.097890e-01   1.928615e+04   1.453749e+03
  1.124320e-01   1.914449e+04   1.374494e+03
  1.150760e-01   1.927439e+04   1.394646e+03
  1.177190e-01   1.718209e+04   1.291485e+03
  1.203630e-01   1.816435e+04   1.353891e+03
  1.230060e-01   1.846368e+04   1.361161e+03
  1.256490e-01   1.644402e+04   1.246618e+03
  1.282930e-01   1.786161e+04   1.292421e+03
  1.309360e-01   1.309851e+04   1.095353e+03
  1.335800e-01   1.458854e+04   1.168018e+03
  1.362230e-01   1.444689e+04   1.124689e+03
  1.388660e-01   1.668888e+04   1.226991e+03
  1.415100e-01   1.706971e+04   1.225534e+03
  1.441530e-01   1.459117e+04   1.106154e+03
  1.467970e-01   1.474016e+04   1.130519e+03
  1.494400e-01   1.215242e+04   9.955649e+02
  1.520830e-01   1.243635e+04   1.018826e+03
  1.547270e-01   1.261783e+04   1.016774e+03
  1.573700e-01   1.193444e+04   9.777072e+02
  1.600130e-01   1.237778e+04   9.847234e+02
  1.626570e-01   1.307318e+04   9.968204e+02
  1.653000e-01   1.206442e+04   9.721786e+02
  1.679440e-01   1.405014e+04   1.024711e+03
  1.705870e-01   1.235993e+04   9.651485e+02
  1.732300e-01   1.249578e+04   9.583822e+02
  1.758740e-01   1.159182e+04   9.192911e+02
  1.785170e-01   1.290410e+04   9.699316e+02
  1.811610e-01   1.292708e+04   9.478594e+02
  1.838040e-01   1.193184e+04   9.288928e+02
  1.864470e-01   1.109373e+04   8.797903e+02
  1.890910e-01   1.195302e+04   9.009924e+02
  1.917340e-01   1.197617e+04   9.053137e+02
  1.943780e-01   1.149184e+04   8.687017e+02
  1.970210e-01   1.224992e+04   9.156017e+02
  1.996640e-01   1.144466e+04   8.701214e+02
  2.023080e-01   1.208285e+04   8.907597e+02
  2.049510e-01   1.041401e+04   8.107297e+02
  2.075950e-01   1.100127e+04   8.245799e+02
  2.102380e-01   1.182207e+04   8.715347e+02
  2.128810e-01   1.070494e+04   8.023689e+02
  2.155250e-01   1.058005e+04   8.114525e+02
  2.181680e-01   1.006634e+04   7.860488e+02
  2.208110e-01   1.231003e+04   8.618743e+02
  2.234550e-01   1.098704e+04   8.212097e+02
  2.260980e-01   1.238789e+04   8.448471e+02
