
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   5.054359e+07   2.864039e+05
  2.784400e-02   7.675325e+06   6.169349e+04
  3.048740e-02   3.121034e+06   3.686375e+04
  3.313080e-02   1.400804e+06   2.306652e+04
  3.577420e-02   7.140760e+05   1.536447e+04
  3.841750e-02   4.887378e+05   1.283046e+04
  4.106090e-02   3.595882e+05   1.009426e+04
  4.370430e-02   2.644313e+05   8.588328e+03
  4.634770e-02   2.320747e+05   7.482388e+03
  4.899110e-02   2.066031e+05   6.706620e+03
  5.163450e-02   1.793493e+05   6.101587e+03
  5.427790e-02   1.700438e+05   5.537389e+03
  5.692130e-02   1.456046e+05   5.203482e+03
  5.956470e-02   1.464857e+05   4.943652e+03
  6.220810e-02   1.297238e+05   4.393002e+03
  6.485140e-02   1.186995e+05   4.311359e+03
  6.749480e-02   1.166506e+05   3.987035e+03
  7.013820e-02   1.177672e+05   4.037007e+03
  7.278160e-02   1.030310e+05   3.624616e+03
  7.542500e-02   1.035655e+05   3.558552e+03
  7.806840e-02   9.608874e+04   3.393012e+03
  8.071180e-02   9.579068e+04   3.229103e+03
  8.335520e-02   9.635590e+04   3.268650e+03
  8.599860e-02   9.029740e+04   3.061368e+03
  8.864200e-02   8.947989e+04   3.140128e+03
  9.128530e-02   8.216309e+04   3.018336e+03
  9.392870e-02   7.710268e+04   2.905917e+03
  9.657210e-02   7.665159e+04   2.924441e+03
  9.921550e-02   7.915059e+04   2.917529e+03
  1.018590e-01   7.438291e+04   2.863000e+03
  1.045020e-01   7.794637e+04   2.844304e+03
  1.071460e-01   7.865337e+04   2.873931e+03
  1.097890e-01   7.874549e+04   2.936711e+03
  1.124320e-01   7.308429e+04   2.684819e+03
  1.150760e-01   7.554278e+04   2.760273e+03
  1.177190e-01   7.228079e+04   2.648163e+03
  1.203630e-01   6.959215e+04   2.649328e+03
  1.230060e-01   7.341343e+04   2.713438e+03
  1.256490e-01   7.074641e+04   2.585018e+03
  1.282930e-01   7.028601e+04   2.563067e+03
  1.309360e-01   7.040057e+04   2.538709e+03
