
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.718115e+07   2.769999e+05
  2.784400e-02   7.341404e+06   6.039905e+04
  3.048740e-02   3.109177e+06   3.683177e+04
  3.313080e-02   1.429589e+06   2.332644e+04
  3.577420e-02   6.502945e+05   1.467743e+04
  3.841750e-02   4.394593e+05   1.217904e+04
  4.106090e-02   3.029754e+05   9.275241e+03
  4.370430e-02   2.289220e+05   7.999181e+03
  4.634770e-02   1.733289e+05   6.473086e+03
  4.899110e-02   1.494377e+05   5.709722e+03
  5.163450e-02   1.270944e+05   5.141688e+03
  5.427790e-02   1.067913e+05   4.392807e+03
  5.692130e-02   9.074888e+04   4.112224e+03
  5.956470e-02   7.707272e+04   3.589634e+03
  6.220810e-02   7.423892e+04   3.326725e+03
  6.485140e-02   6.622030e+04   3.223554e+03
  6.749480e-02   5.912895e+04   2.841556e+03
  7.013820e-02   4.909046e+04   2.609128e+03
  7.278160e-02   4.855557e+04   2.490848e+03
  7.542500e-02   4.631509e+04   2.382191e+03
  7.806840e-02   4.046012e+04   2.204003e+03
  8.071180e-02   4.046817e+04   2.101003e+03
  8.335520e-02   3.233335e+04   1.895414e+03
  8.599860e-02   3.380169e+04   1.874981e+03
  8.864200e-02   3.102950e+04   1.851065e+03
  9.128530e-02   2.788890e+04   1.760332e+03
  9.392870e-02   2.765645e+04   1.742193e+03
  9.657210e-02   2.772779e+04   1.760716e+03
  9.921550e-02   2.607899e+04   1.676421e+03
  1.018590e-01   2.329973e+04   1.604020e+03
  1.045020e-01   2.319316e+04   1.553129e+03
  1.071460e-01   1.988824e+04   1.446657e+03
  1.097890e-01   2.205931e+04   1.555944e+03
  1.124320e-01   2.045857e+04   1.421969e+03
  1.150760e-01   1.788890e+04   1.344612e+03
  1.177190e-01   1.798612e+04   1.322366e+03
  1.203630e-01   1.950597e+04   1.404071e+03
  1.230060e-01   1.587891e+04   1.263258e+03
  1.256490e-01   1.788890e+04   1.301226e+03
  1.282930e-01   1.498546e+04   1.184705e+03
  1.309360e-01   1.541197e+04   1.189059e+03
  1.335800e-01   1.610937e+04   1.228328e+03
  1.362230e-01   1.464434e+04   1.133213e+03
  1.388660e-01   1.499776e+04   1.164052e+03
  1.415100e-01   1.242529e+04   1.046398e+03
  1.441530e-01   1.394158e+04   1.082077e+03
  1.467970e-01   1.493636e+04   1.138887e+03
  1.494400e-01   1.470320e+04   1.095912e+03
  1.520830e-01   1.312410e+04   1.047417e+03
  1.547270e-01   1.296535e+04   1.031468e+03
  1.573700e-01   1.395815e+04   1.058165e+03
  1.600130e-01   1.459357e+04   1.070053e+03
  1.626570e-01   1.286478e+04   9.895985e+02
  1.653000e-01   1.333821e+04   1.022994e+03
  1.679440e-01   1.272432e+04   9.759107e+02
  1.705870e-01   1.411487e+04   1.032181e+03
  1.732300e-01   1.280933e+04   9.710730e+02
  1.758740e-01   1.321588e+04   9.823285e+02
  1.785170e-01   1.423810e+04   1.019612e+03
  1.811610e-01   1.252919e+04   9.338705e+02
  1.838040e-01   1.209492e+04   9.359331e+02
  1.864470e-01   1.111068e+04   8.811343e+02
  1.890910e-01   1.067892e+04   8.522708e+02
  1.917340e-01   1.199447e+04   9.066967e+02
  1.943780e-01   1.144363e+04   8.675395e+02
  1.970210e-01   1.089783e+04   8.642544e+02
  1.996640e-01   1.378108e+04   9.555456e+02
  2.023080e-01   1.203554e+04   8.896930e+02
  2.049510e-01   1.201021e+04   8.713124e+02
  2.075950e-01   1.306075e+04   8.991392e+02
  2.102380e-01   1.184013e+04   8.728661e+02
  2.128810e-01   1.120315e+04   8.214546e+02
  2.155250e-01   1.202981e+04   8.659250e+02
  2.181680e-01   1.100382e+04   8.224643e+02
  2.208110e-01   1.257058e+04   8.716126e+02
  2.234550e-01   1.081940e+04   8.155430e+02
  2.260980e-01   1.027169e+04   7.698956e+02
  2.287420e-01   1.028904e+04   7.755654e+02
  2.313850e-01   1.163925e+04   8.169152e+02
  2.340280e-01   1.082449e+04   7.852911e+02
  2.366720e-01   1.090646e+04   7.933279e+02
  2.393150e-01   1.168593e+04   8.044929e+02
  2.419590e-01   1.004487e+04   7.528948e+02
  2.446020e-01   1.064687e+04   7.585578e+02
  2.472450e-01   1.020655e+04   7.483804e+02
  2.498890e-01   1.236358e+04   8.224131e+02
  2.525320e-01   1.136471e+04   7.732706e+02
  2.551760e-01   1.163327e+04   7.989762e+02
