
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   4.927454e+07   2.832993e+05
  2.784400e-02   7.446433e+06   6.087703e+04
  3.048740e-02   3.169531e+06   3.721655e+04
  3.313080e-02   1.450882e+06   2.351785e+04
  3.577420e-02   6.751990e+05   1.496751e+04
  3.841750e-02   4.844305e+05   1.279701e+04
  4.106090e-02   3.483828e+05   9.953793e+03
  4.370430e-02   2.771509e+05   8.808435e+03
  4.634770e-02   2.619731e+05   7.964216e+03
  4.899110e-02   2.139094e+05   6.836576e+03
  5.163450e-02   1.808350e+05   6.137939e+03
  5.427790e-02   1.683096e+05   5.519089e+03
  5.692130e-02   1.472539e+05   5.242379e+03
  5.956470e-02   1.374740e+05   4.797875e+03
  6.220810e-02   1.230289e+05   4.285914e+03
  6.485140e-02   1.153592e+05   4.257987e+03
  6.749480e-02   1.191264e+05   4.036444e+03
  7.013820e-02   1.148621e+05   3.994148e+03
  7.278160e-02   9.956637e+04   3.569627e+03
  7.542500e-02   1.039421e+05   3.571494e+03
  7.806840e-02   9.162834e+04   3.319345e+03
  8.071180e-02   9.395410e+04   3.203808e+03
  8.335520e-02   9.236626e+04   3.206080e+03
  8.599860e-02   8.718829e+04   3.013668e+03
  8.864200e-02   8.836757e+04   3.126220e+03
  9.128530e-02   8.446505e+04   3.065887e+03
  9.392870e-02   8.441794e+04   3.046170e+03
  9.657210e-02   8.544087e+04   3.093167e+03
  9.921550e-02   8.289231e+04   2.991119e+03
  1.018590e-01   7.719720e+04   2.921957e+03
  1.045020e-01   7.427150e+04   2.781490e+03
  1.071460e-01   7.556686e+04   2.822096e+03
  1.097890e-01   7.309626e+04   2.834551e+03
  1.124320e-01   7.572582e+04   2.737873e+03
  1.150760e-01   7.197099e+04   2.699123e+03
  1.177190e-01   7.478328e+04   2.698509e+03
  1.203630e-01   7.166731e+04   2.693423e+03
  1.230060e-01   7.428438e+04   2.734446e+03
  1.256490e-01   6.929736e+04   2.563056e+03
  1.282930e-01   7.298059e+04   2.616481e+03
  1.309360e-01   7.019721e+04   2.539646e+03
  1.335800e-01   6.932218e+04   2.550058e+03
  1.362230e-01   7.210645e+04   2.516532e+03
  1.388660e-01   6.967655e+04   2.510969e+03
  1.415100e-01   7.078471e+04   2.499495e+03
  1.441530e-01   6.889147e+04   2.407263e+03
  1.467970e-01   6.679672e+04   2.410319e+03
  1.494400e-01   6.626772e+04   2.328410e+03
  1.520830e-01   6.806720e+04   2.387221e+03
  1.547270e-01   6.320202e+04   2.279123e+03
  1.573700e-01   6.660561e+04   2.313308e+03
  1.600130e-01   6.648086e+04   2.285659e+03
  1.626570e-01   6.533924e+04   2.231946e+03
  1.653000e-01   6.569504e+04   2.272110e+03
  1.679440e-01   6.199672e+04   2.155837e+03
  1.705870e-01   6.206631e+04   2.166129e+03
  1.732300e-01   6.488399e+04   2.187239e+03
  1.758740e-01   6.530501e+04   2.185349e+03
  1.785170e-01   6.406180e+04   2.164448e+03
  1.811610e-01   6.121002e+04   2.065738e+03
  1.838040e-01   6.528399e+04   2.176133e+03
  1.864470e-01   5.815970e+04   2.017538e+03
  1.890910e-01   6.356046e+04   2.080876e+03
  1.917340e-01   6.219405e+04   2.066259e+03
  1.943780e-01   5.875666e+04   1.967318e+03
  1.970210e-01   6.246864e+04   2.070815e+03
