
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   5.233665e+07   2.918330e+05
  2.784400e-02   7.664725e+06   6.173405e+04
  3.048740e-02   3.161333e+06   3.715104e+04
  3.313080e-02   1.475045e+06   2.370181e+04
  3.577420e-02   6.722483e+05   1.492780e+04
  3.841750e-02   4.768858e+05   1.269103e+04
  4.106090e-02   3.562973e+05   1.006152e+04
  4.370430e-02   2.841641e+05   8.915022e+03
  4.634770e-02   2.310081e+05   7.475246e+03
  4.899110e-02   2.152378e+05   6.854569e+03
  5.163450e-02   2.048105e+05   6.529120e+03
  5.427790e-02   1.654403e+05   5.469289e+03
  5.692130e-02   1.611009e+05   5.480765e+03
  5.956470e-02   1.361746e+05   4.772918e+03
  6.220810e-02   1.273891e+05   4.359164e+03
  6.485140e-02   1.191770e+05   4.325851e+03
  6.749480e-02   1.173755e+05   4.004800e+03
  7.013820e-02   1.049029e+05   3.815283e+03
  7.278160e-02   1.008799e+05   3.591418e+03
  7.542500e-02   9.759234e+04   3.459069e+03
  7.806840e-02   9.995225e+04   3.465221e+03
  8.071180e-02   9.342981e+04   3.193365e+03
  8.335520e-02   9.328066e+04   3.220406e+03
  8.599860e-02   9.033308e+04   3.066104e+03
  8.864200e-02   8.563321e+04   3.076036e+03
  9.128530e-02   8.627627e+04   3.097138e+03
  9.392870e-02   8.104464e+04   2.983294e+03
  9.657210e-02   8.122172e+04   3.014421e+03
  9.921550e-02   8.281493e+04   2.988327e+03
  1.018590e-01   8.441777e+04   3.054128e+03
  1.045020e-01   7.753242e+04   2.840568e+03
  1.071460e-01   8.065576e+04   2.914211e+03
  1.097890e-01   7.445564e+04   2.859452e+03
  1.124320e-01   7.347943e+04   2.695699e+03
  1.150760e-01   7.615129e+04   2.775107e+03
  1.177190e-01   7.296238e+04   2.664209e+03
  1.203630e-01   6.806084e+04   2.623553e+03
  1.230060e-01   7.471785e+04   2.741132e+03
  1.256490e-01   7.131628e+04   2.598910e+03
  1.282930e-01   6.766426e+04   2.518203e+03
  1.309360e-01   6.783680e+04   2.495417e+03
  1.335800e-01   6.963234e+04   2.554563e+03
  1.362230e-01   7.089845e+04   2.494199e+03
  1.388660e-01   6.626654e+04   2.447611e+03
  1.415100e-01   6.842601e+04   2.456351e+03
  1.441530e-01   6.739851e+04   2.379924e+03
  1.467970e-01   6.716883e+04   2.415895e+03
  1.494400e-01   6.669627e+04   2.334837e+03
  1.520830e-01   6.750179e+04   2.376176e+03
  1.547270e-01   6.191137e+04   2.254679e+03
  1.573700e-01   7.232284e+04   2.409423e+03
  1.600130e-01   6.202229e+04   2.206654e+03
  1.626570e-01   6.360249e+04   2.201055e+03
  1.653000e-01   6.249334e+04   2.215018e+03
  1.679440e-01   6.396104e+04   2.188702e+03
  1.705870e-01   6.389657e+04   2.196809e+03
  1.732300e-01   6.489708e+04   2.186438e+03
  1.758740e-01   6.349057e+04   2.153770e+03
  1.785170e-01   6.319832e+04   2.148807e+03
  1.811610e-01   6.261554e+04   2.088345e+03
  1.838040e-01   6.094731e+04   2.101632e+03
  1.864470e-01   5.978355e+04   2.044554e+03
  1.890910e-01   5.771592e+04   1.981973e+03
  1.917340e-01   6.158733e+04   2.055196e+03
  1.943780e-01   5.883343e+04   1.967684e+03
  1.970210e-01   6.206741e+04   2.063190e+03
  1.996640e-01   5.920293e+04   1.981151e+03
  2.023080e-01   5.876762e+04   1.966583e+03
  2.049510e-01   5.667312e+04   1.893316e+03
  2.075950e-01   6.063737e+04   1.937979e+03
  2.102380e-01   6.052553e+04   1.974125e+03
  2.128810e-01   5.924512e+04   1.889626e+03
  2.155250e-01   5.762960e+04   1.895875e+03
  2.181680e-01   6.046667e+04   1.928587e+03
  2.208110e-01   5.932433e+04   1.894080e+03
  2.234550e-01   5.794466e+04   1.887939e+03
  2.260980e-01   5.912808e+04   1.847753e+03
  2.287420e-01   5.855557e+04   1.850764e+03
  2.313850e-01   5.748687e+04   1.816079e+03
  2.340280e-01   5.677867e+04   1.799101e+03
  2.366720e-01   5.901260e+04   1.845947e+03
  2.393150e-01   5.619413e+04   1.764704e+03
  2.419590e-01   5.183689e+04   1.710872e+03
  2.446020e-01   5.781030e+04   1.768139e+03
  2.472450e-01   5.919114e+04   1.802799e+03
  2.498890e-01   5.320765e+04   1.706636e+03
