
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   4.772525e+07   2.788520e+05
  2.784400e-02   7.463112e+06   6.095435e+04
  3.048740e-02   3.187096e+06   3.732515e+04
  3.313080e-02   1.402128e+06   2.312282e+04
  3.577420e-02   6.558206e+05   1.475338e+04
  3.841750e-02   4.294570e+05   1.205086e+04
  4.106090e-02   2.913072e+05   9.103351e+03
  4.370430e-02   2.153467e+05   7.765601e+03
  4.634770e-02   1.794644e+05   6.592790e+03
  4.899110e-02   1.494976e+05   5.716182e+03
  5.163450e-02   1.283731e+05   5.172301e+03
  5.427790e-02   1.046368e+05   4.352318e+03
  5.692130e-02   9.670533e+04   4.248988e+03
  5.956470e-02   8.944362e+04   3.870604e+03
  6.220810e-02   7.542269e+04   3.356266e+03
  6.485140e-02   6.728694e+04   3.252437e+03
  6.749480e-02   5.937591e+04   2.850135e+03
  7.013820e-02   5.362774e+04   2.729580e+03
  7.278160e-02   4.954214e+04   2.518369e+03
  7.542500e-02   4.676964e+04   2.396081e+03
  7.806840e-02   4.342230e+04   2.285384e+03
  8.071180e-02   4.076213e+04   2.110583e+03
  8.335520e-02   3.528786e+04   1.981963e+03
  8.599860e-02   2.875892e+04   1.731083e+03
  8.864200e-02   3.318930e+04   1.916185e+03
  9.128530e-02   3.061249e+04   1.846003e+03
  9.392870e-02   3.001697e+04   1.816710e+03
  9.657210e-02   2.598722e+04   1.706145e+03
  9.921550e-02   2.537182e+04   1.655075e+03
  1.018590e-01   2.588766e+04   1.692329e+03
  1.045020e-01   2.334057e+04   1.559507e+03
  1.071460e-01   1.908190e+04   1.418346e+03
  1.097890e-01   2.067103e+04   1.507590e+03
  1.124320e-01   1.841731e+04   1.350423e+03
  1.150760e-01   1.842850e+04   1.366011e+03
  1.177190e-01   1.685079e+04   1.281142e+03
  1.203630e-01   1.528958e+04   1.244248e+03
  1.230060e-01   1.741879e+04   1.324326e+03
  1.256490e-01   1.621534e+04   1.240018e+03
  1.282930e-01   1.857906e+04   1.320356e+03
  1.309360e-01   1.635977e+04   1.226217e+03
