
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   5.043401e+07   2.863582e+05
  2.784400e-02   7.615522e+06   6.150958e+04
  3.048740e-02   3.094101e+06   3.673834e+04
  3.313080e-02   1.473037e+06   2.367566e+04
  3.577420e-02   6.875780e+05   1.509066e+04
  3.841750e-02   4.835693e+05   1.277426e+04
  4.106090e-02   3.460601e+05   9.911735e+03
  4.370430e-02   2.842035e+05   8.911871e+03
  4.634770e-02   2.271875e+05   7.410040e+03
  4.899110e-02   1.965166e+05   6.546918e+03
  5.163450e-02   1.798896e+05   6.116429e+03
  5.427790e-02   1.663845e+05   5.482555e+03
  5.692130e-02   1.490415e+05   5.269412e+03
  5.956470e-02   1.394025e+05   4.827115e+03
  6.220810e-02   1.305603e+05   4.411225e+03
  6.485140e-02   1.244104e+05   4.417943e+03
  6.749480e-02   1.160476e+05   3.980398e+03
  7.013820e-02   1.135488e+05   3.967716e+03
  7.278160e-02   1.093539e+05   3.737638e+03
  7.542500e-02   9.959237e+04   3.492857e+03
  7.806840e-02   1.017883e+05   3.495425e+03
  8.071180e-02   9.204220e+04   3.168223e+03
  8.335520e-02   8.675880e+04   3.104474e+03
  8.599860e-02   8.755320e+04   3.017282e+03
  8.864200e-02   8.478804e+04   3.059525e+03
  9.128530e-02   8.931379e+04   3.149855e+03
  9.392870e-02   8.009836e+04   2.964573e+03
  9.657210e-02   7.679362e+04   2.929859e+03
  9.921550e-02   7.671146e+04   2.874884e+03
  1.018590e-01   7.915758e+04   2.956194e+03
  1.045020e-01   7.902664e+04   2.866598e+03
  1.071460e-01   6.964620e+04   2.706877e+03
  1.097890e-01   7.911085e+04   2.946242e+03
  1.124320e-01   7.193515e+04   2.666094e+03
  1.150760e-01   7.497544e+04   2.752435e+03
  1.177190e-01   6.930428e+04   2.595466e+03
  1.203630e-01   6.931691e+04   2.646532e+03
  1.230060e-01   6.571222e+04   2.569551e+03
  1.256490e-01   6.434806e+04   2.467636e+03
  1.282930e-01   6.947986e+04   2.550686e+03
  1.309360e-01   7.190678e+04   2.568099e+03
  1.335800e-01   6.732617e+04   2.510842e+03
  1.362230e-01   6.654263e+04   2.415345e+03
  1.388660e-01   6.223610e+04   2.371007e+03
  1.415100e-01   6.713474e+04   2.432035e+03
  1.441530e-01   6.465461e+04   2.329990e+03
  1.467970e-01   6.580977e+04   2.390318e+03
  1.494400e-01   6.949824e+04   2.382369e+03
  1.520830e-01   6.552253e+04   2.340090e+03
  1.547270e-01   6.522273e+04   2.313212e+03
  1.573700e-01   6.223651e+04   2.234160e+03
  1.600130e-01   6.651956e+04   2.284291e+03
  1.626570e-01   6.233105e+04   2.178023e+03
  1.653000e-01   6.267586e+04   2.217313e+03
  1.679440e-01   6.420632e+04   2.191968e+03
  1.705870e-01   5.833370e+04   2.098117e+03
  1.732300e-01   6.300222e+04   2.153372e+03
  1.758740e-01   5.796192e+04   2.056992e+03
  1.785170e-01   6.110092e+04   2.111957e+03
  1.811610e-01   6.270180e+04   2.088900e+03
  1.838040e-01   5.705814e+04   2.032612e+03
  1.864470e-01   6.113029e+04   2.066581e+03
  1.890910e-01   6.242741e+04   2.060411e+03
  1.917340e-01   6.475595e+04   2.106511e+03
  1.943780e-01   5.832343e+04   1.958309e+03
  1.970210e-01   6.064446e+04   2.038541e+03
  1.996640e-01   5.981531e+04   1.990529e+03
  2.023080e-01   6.003303e+04   1.986803e+03
  2.049510e-01   5.927953e+04   1.935545e+03
  2.075950e-01   5.718242e+04   1.881163e+03
  2.102380e-01   5.957370e+04   1.957713e+03
  2.128810e-01   5.889396e+04   1.883221e+03
  2.155250e-01   5.820407e+04   1.904495e+03
  2.181680e-01   5.629773e+04   1.860129e+03
  2.208110e-01   5.601140e+04   1.839656e+03
  2.234550e-01   5.396223e+04   1.821137e+03
  2.260980e-01   5.867426e+04   1.839870e+03
  2.287420e-01   5.599283e+04   1.809046e+03
  2.313850e-01   5.663576e+04   1.801824e+03
  2.340280e-01   5.559152e+04   1.779441e+03
  2.366720e-01   5.648191e+04   1.805170e+03
  2.393150e-01   5.935819e+04   1.812939e+03
  2.419590e-01   5.410628e+04   1.747183e+03
  2.446020e-01   5.284443e+04   1.689779e+03
  2.472450e-01   5.771471e+04   1.779421e+03
  2.498890e-01   5.644433e+04   1.757035e+03
  2.525320e-01   5.202424e+04   1.654275e+03
  2.551760e-01   5.562996e+04   1.746987e+03
  2.578190e-01   5.670350e+04   1.697375e+03
  2.604620e-01   5.308468e+04   1.658896e+03
  2.631060e-01   5.323534e+04   1.670964e+03
  2.657490e-01   5.253073e+04   1.638388e+03
  2.683920e-01   5.231484e+04   1.642071e+03
  2.710360e-01   5.208262e+04   1.599705e+03
  2.736790e-01   5.425779e+04   1.651012e+03
  2.763230e-01   5.114907e+04   1.585303e+03
  2.789660e-01   5.092589e+04   1.575362e+03
  2.816090e-01   5.042977e+04   1.569810e+03
  2.842530e-01   5.112043e+04   1.563528e+03
  2.868960e-01   5.131575e+04   1.581381e+03
  2.895400e-01   5.034807e+04   1.531334e+03
  2.921830e-01   5.037758e+04   1.535788e+03
  2.948260e-01   5.379576e+04   1.589116e+03
  2.974700e-01   5.019778e+04   1.521145e+03
  3.001130e-01   4.911346e+04   1.516396e+03
  3.027570e-01   4.928404e+04   1.482604e+03
  3.054000e-01   4.801183e+04   1.478162e+03
  3.080430e-01   4.896234e+04   1.472260e+03
  3.106870e-01   5.058377e+04   1.511479e+03
  3.133300e-01   4.894140e+04   1.468315e+03
  3.159740e-01   4.694275e+04   1.412171e+03
  3.186170e-01   4.581373e+04   1.420624e+03
  3.212600e-01   5.037602e+04   1.464642e+03
  3.239040e-01   4.740596e+04   1.429344e+03
  3.265470e-01   5.055945e+04   1.474344e+03
  3.291900e-01   5.204404e+04   1.466175e+03
  3.318340e-01   4.775032e+04   1.429368e+03
  3.344770e-01   4.828123e+04   1.407311e+03
  3.371210e-01   4.759645e+04   1.405377e+03
  3.397640e-01   4.711065e+04   1.383813e+03
  3.424070e-01   4.849349e+04   1.392939e+03
  3.450510e-01   4.733530e+04   1.398276e+03
  3.476940e-01   4.648535e+04   1.345848e+03
  3.503380e-01   4.535694e+04   1.351682e+03
  3.529810e-01   4.673940e+04   1.362949e+03
  3.556240e-01   4.451547e+04   1.324255e+03
  3.582680e-01   4.590608e+04   1.340359e+03
  3.609110e-01   4.520925e+04   1.314422e+03
  3.635550e-01   4.438267e+04   1.312201e+03
  3.661980e-01   4.186967e+04   1.255588e+03
  3.688410e-01   4.364240e+04   1.291444e+03
  3.714850e-01   4.326889e+04   1.273717e+03
  3.741280e-01   4.357836e+04   1.272938e+03
  3.767710e-01   4.658412e+04   1.327188e+03
  3.794150e-01   4.176819e+04   1.235983e+03
  3.820580e-01   4.383864e+04   1.276733e+03
  3.847020e-01   4.145572e+04   1.221401e+03
  3.873450e-01   4.385294e+04   1.266453e+03
  3.899880e-01   4.478485e+04   1.273346e+03
  3.926320e-01   4.370707e+04   1.241698e+03
  3.952750e-01   4.161142e+04   1.224925e+03
  3.979190e-01   4.214997e+04   1.212228e+03
  4.005620e-01   4.118532e+04   1.211333e+03
  4.032050e-01   4.154818e+04   1.195414e+03
  4.058490e-01   4.070731e+04   1.185538e+03
  4.084920e-01   4.071837e+04   1.199676e+03
  4.111360e-01   3.983938e+04   1.167212e+03
  4.137790e-01   4.268871e+04   1.215221e+03
  4.164220e-01   4.003796e+04   1.164564e+03
  4.190660e-01   3.896370e+04   1.144507e+03
  4.217090e-01   4.007183e+04   1.165056e+03
  4.243530e-01   3.976660e+04   1.150843e+03
  4.269960e-01   3.691548e+04   1.167954e+03
  4.296390e-01   3.813491e+04   1.187088e+03
  4.322830e-01   3.827304e+04   1.243051e+03
  4.349260e-01   3.877904e+04   1.281995e+03
  4.375690e-01   3.879162e+04   1.258566e+03
  4.402130e-01   3.663605e+04   1.259573e+03
  4.428560e-01   3.662775e+04   1.253376e+03
  4.455000e-01   3.604231e+04   1.279094e+03
  4.481430e-01   3.758109e+04   1.304459e+03
  4.507860e-01   3.721886e+04   1.298157e+03
  4.534300e-01   3.720458e+04   1.333849e+03
  4.560730e-01   3.544729e+04   1.278262e+03
  4.587170e-01   3.756767e+04   1.315938e+03
  4.613600e-01   3.545539e+04   1.262245e+03
  4.640030e-01   3.660900e+04   1.271483e+03
  4.666470e-01   3.480444e+04   1.264989e+03
  4.692900e-01   3.667936e+04   1.260318e+03
  4.719340e-01   3.549480e+04   1.275834e+03
  4.745770e-01   3.656484e+04   1.270716e+03
  4.772200e-01   3.503052e+04   1.272366e+03
  4.798640e-01   3.386635e+04   1.224441e+03
  4.825070e-01   3.552826e+04   1.196299e+03
  4.851500e-01   3.466493e+04   1.191101e+03
  4.877940e-01   3.477634e+04   1.152825e+03
  4.904370e-01   3.279565e+04   1.132907e+03
  4.930810e-01   3.414068e+04   1.124363e+03
  4.957240e-01   3.370630e+04   1.104679e+03
  4.983670e-01   3.336307e+04   1.111485e+03
  5.010110e-01   3.512480e+04   1.122021e+03
  5.036540e-01   3.369114e+04   1.098884e+03
  5.062980e-01   3.287527e+04   1.064376e+03
  5.089410e-01   3.068467e+04   1.030290e+03
  5.115840e-01   3.235998e+04   1.061125e+03
  5.142280e-01   3.188191e+04   1.038218e+03
  5.168710e-01   3.167704e+04   1.043794e+03
  5.195150e-01   3.231045e+04   1.026894e+03
  5.221580e-01   3.217966e+04   1.034293e+03
  5.248010e-01   3.019327e+04   9.981588e+02
  5.274450e-01   3.145954e+04   1.005965e+03
  5.300880e-01   3.120151e+04   1.005455e+03
  5.327320e-01   3.274181e+04   1.016258e+03
  5.353750e-01   2.970010e+04   9.818549e+02
  5.380180e-01   3.213129e+04   9.953922e+02
  5.406620e-01   3.374465e+04   1.025394e+03
  5.433050e-01   3.108504e+04   9.919634e+02
