
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   5.092820e+07   2.863124e+05
  2.784400e-02   7.552490e+06   6.094683e+04
  3.048740e-02   3.107577e+06   3.663332e+04
  3.313080e-02   1.383309e+06   2.282801e+04
  3.577420e-02   6.134717e+05   1.418266e+04
  3.841750e-02   4.259404e+05   1.192872e+04
  4.106090e-02   2.858215e+05   8.962609e+03
  4.370430e-02   2.232586e+05   7.859073e+03
  4.634770e-02   1.722722e+05   6.420208e+03
  4.899110e-02   1.442372e+05   5.580703e+03
  5.163450e-02   1.286756e+05   5.147023e+03
  5.427790e-02   1.058769e+05   4.351512e+03
  5.692130e-02   8.723775e+04   4.011196e+03
  5.956470e-02   7.744201e+04   3.579758e+03
  6.220810e-02   6.580640e+04   3.116023e+03
  6.485140e-02   5.731075e+04   2.983478e+03
  6.749480e-02   5.338759e+04   2.686221e+03
  7.013820e-02   4.996044e+04   2.618638e+03
  7.278160e-02   4.363205e+04   2.349071e+03
  7.542500e-02   4.365803e+04   2.300980e+03
  7.806840e-02   4.242252e+04   2.245238e+03
  8.071180e-02   3.724687e+04   2.005304e+03
  8.335520e-02   3.277215e+04   1.898440e+03
  8.599860e-02   3.119096e+04   1.791874e+03
  8.864200e-02   3.005607e+04   1.812449e+03
  9.128530e-02   2.848318e+04   1.769858e+03
  9.392870e-02   2.498359e+04   1.647369e+03
  9.657210e-02   2.323881e+04   1.603630e+03
  9.921550e-02   2.506538e+04   1.635085e+03
  1.018590e-01   2.251473e+04   1.568676e+03
  1.045020e-01   2.079397e+04   1.463059e+03
  1.071460e-01   2.051785e+04   1.461836e+03
  1.097890e-01   2.150761e+04   1.528479e+03
  1.124320e-01   1.858616e+04   1.348381e+03
  1.150760e-01   1.880612e+04   1.371577e+03
  1.177190e-01   1.780199e+04   1.308828e+03
  1.203630e-01   1.740566e+04   1.319520e+03
  1.230060e-01   1.850152e+04   1.356597e+03
  1.256490e-01   1.367746e+04   1.131955e+03
  1.282930e-01   1.612985e+04   1.222801e+03
  1.309360e-01   1.743336e+04   1.258145e+03
  1.335800e-01   1.464665e+04   1.165225e+03
  1.362230e-01   1.570952e+04   1.167680e+03
  1.388660e-01   1.484422e+04   1.152135e+03
  1.415100e-01   1.474026e+04   1.133866e+03
  1.441530e-01   1.346635e+04   1.058017e+03
  1.467970e-01   1.538510e+04   1.149936e+03
  1.494400e-01   1.406759e+04   1.066461e+03
  1.520830e-01   1.257605e+04   1.020053e+03
  1.547270e-01   1.429456e+04   1.077493e+03
  1.573700e-01   1.349766e+04   1.035224e+03
  1.600130e-01   1.219212e+04   9.730374e+02
  1.626570e-01   1.069880e+04   8.978233e+02
  1.653000e-01   1.133790e+04   9.383311e+02
  1.679440e-01   1.103832e+04   9.042943e+02
  1.705870e-01   1.344741e+04   1.002311e+03
  1.732300e-01   1.027371e+04   8.652026e+02
