
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   4.937448e+07   2.840759e+05
  2.784400e-02   7.530588e+06   6.132572e+04
  3.048740e-02   3.199336e+06   3.745566e+04
  3.313080e-02   1.449009e+06   2.354323e+04
  3.577420e-02   6.532270e+05   1.474737e+04
  3.841750e-02   4.891570e+05   1.288148e+04
  4.106090e-02   3.398835e+05   9.848593e+03
  4.370430e-02   2.828840e+05   8.914431e+03
  4.634770e-02   2.422269e+05   7.671402e+03
  4.899110e-02   2.098249e+05   6.782675e+03
  5.163450e-02   1.793691e+05   6.123561e+03
  5.427790e-02   1.554524e+05   5.313254e+03
  5.692130e-02   1.473881e+05   5.253818e+03
  5.956470e-02   1.339163e+05   4.743558e+03
  6.220810e-02   1.399344e+05   4.578793e+03
  6.485140e-02   1.293206e+05   4.516073e+03
  6.749480e-02   1.166558e+05   4.001262e+03
  7.013820e-02   1.137259e+05   3.981202e+03
  7.278160e-02   1.067166e+05   3.701957e+03
  7.542500e-02   1.050401e+05   3.596504e+03
  7.806840e-02   9.737470e+04   3.427752e+03
  8.071180e-02   9.548456e+04   3.235371e+03
  8.335520e-02   9.022863e+04   3.174232e+03
  8.599860e-02   8.853476e+04   3.042090e+03
  8.864200e-02   8.645325e+04   3.097509e+03
  9.128530e-02   8.799525e+04   3.134701e+03
  9.392870e-02   8.261389e+04   3.018646e+03
  9.657210e-02   8.146609e+04   3.025575e+03
  9.921550e-02   8.047104e+04   2.952196e+03
  1.018590e-01   8.090426e+04   2.996454e+03
  1.045020e-01   7.891824e+04   2.872129e+03
  1.071460e-01   7.307823e+04   2.780027e+03
  1.097890e-01   7.610625e+04   2.897316e+03
  1.124320e-01   7.370284e+04   2.705716e+03
  1.150760e-01   7.201647e+04   2.704635e+03
  1.177190e-01   7.269658e+04   2.665186e+03
  1.203630e-01   7.526686e+04   2.764997e+03
  1.230060e-01   6.807674e+04   2.622218e+03
  1.256490e-01   7.153439e+04   2.608591e+03
  1.282930e-01   7.106773e+04   2.586420e+03
  1.309360e-01   6.555319e+04   2.458437e+03
  1.335800e-01   7.285619e+04   2.618762e+03
  1.362230e-01   6.530507e+04   2.399042e+03
  1.388660e-01   6.574038e+04   2.443222e+03
  1.415100e-01   6.243843e+04   2.351567e+03
  1.441530e-01   6.803217e+04   2.396331e+03
  1.467970e-01   6.423466e+04   2.367721e+03
  1.494400e-01   6.838483e+04   2.369394e+03
  1.520830e-01   6.452178e+04   2.328229e+03
  1.547270e-01   6.473990e+04   2.310666e+03
