
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   4.875005e+07   2.826387e+05
  2.784400e-02   7.553071e+06   6.149657e+04
  3.048740e-02   3.191784e+06   3.745978e+04
  3.313080e-02   1.448538e+06   2.356983e+04
  3.577420e-02   7.043191e+05   1.533304e+04
  3.841750e-02   4.734173e+05   1.268892e+04
  4.106090e-02   3.736658e+05   1.033979e+04
  4.370430e-02   2.762929e+05   8.821355e+03
  4.634770e-02   2.462636e+05   7.745057e+03
  4.899110e-02   2.101478e+05   6.796665e+03
  5.163450e-02   1.815099e+05   6.167956e+03
  5.427790e-02   1.691458e+05   5.549495e+03
  5.692130e-02   1.500225e+05   5.307414e+03
  5.956470e-02   1.317358e+05   4.710862e+03
  6.220810e-02   1.275285e+05   4.376766e+03
  6.485140e-02   1.182708e+05   4.324409e+03
  6.749480e-02   1.170952e+05   4.013971e+03
  7.013820e-02   1.102473e+05   3.924909e+03
  7.278160e-02   1.048038e+05   3.673372e+03
  7.542500e-02   1.023487e+05   3.554718e+03
  7.806840e-02   9.907827e+04   3.462075e+03
  8.071180e-02   9.562164e+04   3.241877e+03
  8.335520e-02   8.900656e+04   3.156737e+03
  8.599860e-02   9.148851e+04   3.096417e+03
  8.864200e-02   8.823460e+04   3.133303e+03
  9.128530e-02   8.408041e+04   3.068138e+03
  9.392870e-02   7.763012e+04   2.929960e+03
  9.657210e-02   7.345280e+04   2.876634e+03
  9.921550e-02   8.198221e+04   2.983638e+03
  1.018590e-01   8.033466e+04   2.989746e+03
  1.045020e-01   8.017035e+04   2.898565e+03
  1.071460e-01   7.432756e+04   2.807313e+03
  1.097890e-01   7.486552e+04   2.877316e+03
  1.124320e-01   7.389348e+04   2.712715e+03
  1.150760e-01   7.525787e+04   2.768406e+03
  1.177190e-01   7.552962e+04   2.720133e+03
  1.203630e-01   7.098070e+04   2.688586e+03
  1.230060e-01   6.825283e+04   2.629001e+03
  1.256490e-01   6.742771e+04   2.535880e+03
  1.282930e-01   6.832600e+04   2.539316e+03
  1.309360e-01   7.034461e+04   2.549990e+03
  1.335800e-01   6.794850e+04   2.532291e+03
  1.362230e-01   6.918507e+04   2.472473e+03
  1.388660e-01   6.791323e+04   2.486480e+03
  1.415100e-01   7.014744e+04   2.495734e+03
  1.441530e-01   6.744651e+04   2.389078e+03
  1.467970e-01   6.588833e+04   2.401104e+03
  1.494400e-01   6.164793e+04   2.252566e+03
  1.520830e-01   6.384637e+04   2.319005e+03
  1.547270e-01   6.482467e+04   2.315167e+03
  1.573700e-01   6.652360e+04   2.318867e+03
  1.600130e-01   6.293018e+04   2.230501e+03
  1.626570e-01   5.913809e+04   2.129806e+03
  1.653000e-01   6.190243e+04   2.212212e+03
  1.679440e-01   6.365394e+04   2.191059e+03
  1.705870e-01   6.221366e+04   2.175249e+03
  1.732300e-01   6.000992e+04   2.109836e+03
  1.758740e-01   6.055005e+04   2.110642e+03
  1.785170e-01   6.018219e+04   2.104221e+03
  1.811610e-01   5.751240e+04   2.008420e+03
  1.838040e-01   6.261395e+04   2.137605e+03
  1.864470e-01   6.329953e+04   2.111158e+03
  1.890910e-01   5.791376e+04   1.992294e+03
  1.917340e-01   5.787410e+04   1.999228e+03
  1.943780e-01   6.275695e+04   2.039327e+03
  1.970210e-01   6.042940e+04   2.042887e+03
  1.996640e-01   6.302154e+04   2.051176e+03
  2.023080e-01   5.997364e+04   1.993591e+03
  2.049510e-01   6.114565e+04   1.973467e+03
  2.075950e-01   6.093650e+04   1.949531e+03
  2.102380e-01   5.867925e+04   1.950564e+03
  2.128810e-01   5.735300e+04   1.865693e+03
  2.155250e-01   6.004222e+04   1.941904e+03
  2.181680e-01   5.581007e+04   1.859303e+03
  2.208110e-01   6.339278e+04   1.964782e+03
  2.234550e-01   5.723474e+04   1.882885e+03
  2.260980e-01   5.564562e+04   1.798768e+03
  2.287420e-01   5.619630e+04   1.819422e+03
  2.313850e-01   6.071960e+04   1.872956e+03
  2.340280e-01   5.660151e+04   1.802559e+03
  2.366720e-01   5.762258e+04   1.830442e+03
  2.393150e-01   5.932142e+04   1.819470e+03
  2.419590e-01   5.532665e+04   1.773691e+03
  2.446020e-01   5.826886e+04   1.781331e+03
  2.472450e-01   5.451802e+04   1.736207e+03
  2.498890e-01   5.683184e+04   1.769956e+03
  2.525320e-01   5.269728e+04   1.671456e+03
  2.551760e-01   5.037111e+04   1.668869e+03
  2.578190e-01   5.597038e+04   1.692966e+03
  2.604620e-01   5.501613e+04   1.695414e+03
  2.631060e-01   5.603150e+04   1.720994e+03
  2.657490e-01   5.433319e+04   1.672780e+03
  2.683920e-01   5.220563e+04   1.646775e+03
  2.710360e-01   5.283769e+04   1.617564e+03
  2.736790e-01   5.179721e+04   1.619454e+03
  2.763230e-01   5.224345e+04   1.608443e+03
  2.789660e-01   5.289692e+04   1.611842e+03
  2.816090e-01   5.422343e+04   1.634155e+03
  2.842530e-01   5.094296e+04   1.566919e+03
  2.868960e-01   5.201285e+04   1.598316e+03
  2.895400e-01   5.346546e+04   1.584205e+03
  2.921830e-01   5.402850e+04   1.596688e+03
  2.948260e-01   5.095320e+04   1.552615e+03
  2.974700e-01   5.254261e+04   1.562357e+03
  3.001130e-01   5.412287e+04   1.598082e+03
  3.027570e-01   4.859170e+04   1.477914e+03
