
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   5.054912e+07   2.859216e+05
  2.784400e-02   7.660024e+06   6.152481e+04
  3.048740e-02   3.024713e+06   3.622735e+04
  3.313080e-02   1.380040e+06   2.285511e+04
  3.577420e-02   6.384588e+05   1.450294e+04
  3.841750e-02   4.289709e+05   1.199948e+04
  4.106090e-02   2.739076e+05   8.794643e+03
  4.370430e-02   2.232073e+05   7.876816e+03
  4.634770e-02   1.877553e+05   6.718413e+03
  4.899110e-02   1.473088e+05   5.653195e+03
  5.163450e-02   1.263909e+05   5.113227e+03
  5.427790e-02   1.205758e+05   4.654778e+03
  5.692130e-02   8.857875e+04   4.051498e+03
  5.956470e-02   8.080261e+04   3.665281e+03
  6.220810e-02   6.982526e+04   3.217378e+03
  6.485140e-02   6.101615e+04   3.085719e+03
  6.749480e-02   5.622144e+04   2.763133e+03
  7.013820e-02   5.323172e+04   2.709423e+03
  7.278160e-02   4.511004e+04   2.394192e+03
  7.542500e-02   4.374360e+04   2.308699e+03
  7.806840e-02   3.713189e+04   2.105556e+03
  8.071180e-02   3.633907e+04   1.985416e+03
  8.335520e-02   3.447479e+04   1.951751e+03
  8.599860e-02   3.289058e+04   1.844412e+03
  8.864200e-02   2.964979e+04   1.804429e+03
  9.128530e-02   2.872899e+04   1.781696e+03
  9.392870e-02   2.783079e+04   1.742831e+03
  9.657210e-02   2.679600e+04   1.726082e+03
  9.921550e-02   2.282677e+04   1.564064e+03
  1.018590e-01   2.547686e+04   1.672638e+03
  1.045020e-01   2.151334e+04   1.491682e+03
  1.071460e-01   2.187108e+04   1.512854e+03
  1.097890e-01   2.128237e+04   1.524062e+03
  1.124320e-01   2.142648e+04   1.451184e+03
  1.150760e-01   1.939800e+04   1.396299e+03
  1.177190e-01   1.691972e+04   1.279010e+03
  1.203630e-01   1.577972e+04   1.259359e+03
  1.230060e-01   1.868936e+04   1.366702e+03
  1.256490e-01   1.769575e+04   1.290595e+03
  1.282930e-01   1.620648e+04   1.228610e+03
  1.309360e-01   1.441436e+04   1.146745e+03
  1.335800e-01   1.425053e+04   1.152087e+03
  1.362230e-01   1.438887e+04   1.120172e+03
  1.388660e-01   1.356703e+04   1.104069e+03
  1.415100e-01   1.472266e+04   1.135877e+03
  1.441530e-01   1.336329e+04   1.056461e+03
  1.467970e-01   1.459461e+04   1.122662e+03
  1.494400e-01   1.437812e+04   1.080726e+03
  1.520830e-01   1.305145e+04   1.041619e+03
  1.547270e-01   1.354642e+04   1.051406e+03
  1.573700e-01   1.451909e+04   1.076227e+03
  1.600130e-01   1.209399e+04   9.714130e+02
  1.626570e-01   1.279357e+04   9.841207e+02
  1.653000e-01   1.154781e+04   9.492244e+02
  1.679440e-01   1.332380e+04   9.958674e+02
  1.705870e-01   1.358636e+04   1.009866e+03
  1.732300e-01   1.164029e+04   9.231349e+02
  1.758740e-01   1.118221e+04   9.010879e+02
  1.785170e-01   1.307011e+04   9.741886e+02
