
Sample:   c= 3.0000 mg/ml  Code: ADR_NAPI
  2.520060e-02   4.698651e+07   2.776817e+05
  2.784400e-02   7.396115e+06   6.089865e+04
  3.048740e-02   3.150213e+06   3.724218e+04
  3.313080e-02   1.478690e+06   2.383124e+04
  3.577420e-02   6.996641e+05   1.529343e+04
  3.841750e-02   4.839855e+05   1.283912e+04
  4.106090e-02   3.441253e+05   9.929905e+03
  4.370430e-02   2.806450e+05   8.897043e+03
  4.634770e-02   2.390609e+05   7.636519e+03
  4.899110e-02   2.031898e+05   6.688075e+03
  5.163450e-02   1.798856e+05   6.144777e+03
  5.427790e-02   1.608228e+05   5.415184e+03
  5.692130e-02   1.643442e+05   5.559025e+03
  5.956470e-02   1.371579e+05   4.810339e+03
  6.220810e-02   1.262103e+05   4.357264e+03
  6.485140e-02   1.260441e+05   4.467513e+03
  6.749480e-02   1.191953e+05   4.052760e+03
  7.013820e-02   1.060703e+05   3.852645e+03
  7.278160e-02   1.028938e+05   3.642399e+03
  7.542500e-02   9.915980e+04   3.501454e+03
  7.806840e-02   9.946517e+04   3.471358e+03
  8.071180e-02   9.697197e+04   3.267069e+03
  8.335520e-02   8.790313e+04   3.139397e+03
  8.599860e-02   8.773886e+04   3.034512e+03
  8.864200e-02   8.535479e+04   3.083994e+03
  9.128530e-02   8.296979e+04   3.050030e+03
  9.392870e-02   8.305921e+04   3.032894e+03
  9.657210e-02   8.134473e+04   3.029436e+03
  9.921550e-02   7.568596e+04   2.868869e+03
  1.018590e-01   8.123191e+04   3.008589e+03
  1.045020e-01   7.965765e+04   2.891389e+03
  1.071460e-01   7.379892e+04   2.799353e+03
  1.097890e-01   7.342434e+04   2.851565e+03
  1.124320e-01   7.370212e+04   2.711176e+03
  1.150760e-01   7.016642e+04   2.675070e+03
  1.177190e-01   7.034212e+04   2.626975e+03
  1.203630e-01   6.975848e+04   2.667282e+03
  1.230060e-01   6.754114e+04   2.617166e+03
  1.256490e-01   7.029593e+04   2.591142e+03
  1.282930e-01   6.814218e+04   2.537748e+03
  1.309360e-01   6.859583e+04   2.519931e+03
  1.335800e-01   7.825482e+04   2.719543e+03
  1.362230e-01   6.893209e+04   2.469748e+03
  1.388660e-01   6.318037e+04   2.400024e+03
  1.415100e-01   6.971627e+04   2.489867e+03
  1.441530e-01   6.932468e+04   2.423880e+03
  1.467970e-01   6.563398e+04   2.398213e+03
  1.494400e-01   6.404586e+04   2.297632e+03
  1.520830e-01   6.815720e+04   2.397762e+03
  1.547270e-01   6.682380e+04   2.352309e+03
  1.573700e-01   6.378749e+04   2.272335e+03
  1.600130e-01   6.428880e+04   2.256095e+03
  1.626570e-01   6.467827e+04   2.228960e+03
  1.653000e-01   6.175525e+04   2.211193e+03
  1.679440e-01   6.420002e+04   2.202043e+03
  1.705870e-01   5.941012e+04   2.127223e+03
  1.732300e-01   6.084036e+04   2.125934e+03
  1.758740e-01   5.820699e+04   2.070912e+03
  1.785170e-01   6.041738e+04   2.109867e+03
  1.811610e-01   6.188094e+04   2.084822e+03
  1.838040e-01   6.022051e+04   2.097881e+03
  1.864470e-01   5.584694e+04   1.984435e+03
  1.890910e-01   6.218514e+04   2.065963e+03
  1.917340e-01   5.927267e+04   2.024716e+03
  1.943780e-01   5.946388e+04   1.986549e+03
  1.970210e-01   6.508236e+04   2.121624e+03
  1.996640e-01   5.616033e+04   1.937716e+03
  2.023080e-01   5.913205e+04   1.980998e+03
  2.049510e-01   5.753528e+04   1.915715e+03
  2.075950e-01   5.777741e+04   1.899709e+03
  2.102380e-01   5.649221e+04   1.915265e+03
  2.128810e-01   5.792294e+04   1.876308e+03
  2.155250e-01   6.302313e+04   1.990976e+03
  2.181680e-01   5.719421e+04   1.883591e+03
  2.208110e-01   5.878946e+04   1.893481e+03
  2.234550e-01   5.682201e+04   1.877452e+03
  2.260980e-01   5.694968e+04   1.821050e+03
  2.287420e-01   5.551142e+04   1.809621e+03
