
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   5.115455e+07   2.862446e+05
  2.784400e-02   7.630524e+06   6.111071e+04
  3.048740e-02   3.139631e+06   3.673151e+04
  3.313080e-02   1.405776e+06   2.295623e+04
  3.577420e-02   6.218877e+05   1.424461e+04
  3.841750e-02   4.175386e+05   1.178153e+04
  4.106090e-02   2.992444e+05   9.148170e+03
  4.370430e-02   2.224407e+05   7.825436e+03
  4.634770e-02   1.730954e+05   6.419753e+03
  4.899110e-02   1.486877e+05   5.652259e+03
  5.163450e-02   1.253822e+05   5.068274e+03
  5.427790e-02   1.037567e+05   4.297164e+03
  5.692130e-02   1.000249e+05   4.284596e+03
  5.956470e-02   7.706283e+04   3.562230e+03
  6.220810e-02   7.047626e+04   3.216786e+03
  6.485140e-02   6.553056e+04   3.182445e+03
  6.749480e-02   5.756458e+04   2.782489e+03
  7.013820e-02   5.681807e+04   2.785735e+03
  7.278160e-02   4.606127e+04   2.407661e+03
  7.542500e-02   4.513377e+04   2.333812e+03
  7.806840e-02   3.713011e+04   2.095373e+03
  8.071180e-02   3.846113e+04   2.032734e+03
  8.335520e-02   3.611361e+04   1.987989e+03
  8.599860e-02   3.288209e+04   1.835299e+03
  8.864200e-02   3.197534e+04   1.864840e+03
  9.128530e-02   2.254365e+04   1.570690e+03
  9.392870e-02   2.388843e+04   1.606909e+03
  9.657210e-02   2.400598e+04   1.625890e+03
  9.921550e-02   2.239532e+04   1.541757e+03
  1.018590e-01   2.360085e+04   1.602130e+03
  1.045020e-01   2.140921e+04   1.480906e+03
  1.071460e-01   1.917369e+04   1.409678e+03
  1.097890e-01   2.075375e+04   1.497773e+03
  1.124320e-01   1.946858e+04   1.376637e+03
  1.150760e-01   1.682272e+04   1.294056e+03
  1.177190e-01   1.637424e+04   1.252169e+03
  1.203630e-01   1.891312e+04   1.372102e+03
  1.230060e-01   1.682720e+04   1.290587e+03
  1.256490e-01   1.538172e+04   1.197466e+03
  1.282930e-01   1.697334e+04   1.251291e+03
  1.309360e-01   1.319171e+04   1.091754e+03
  1.335800e-01   1.531290e+04   1.188512e+03
  1.362230e-01   1.381887e+04   1.092478e+03
  1.388660e-01   1.503850e+04   1.156807e+03
  1.415100e-01   1.319260e+04   1.070061e+03
  1.441530e-01   1.414488e+04   1.081686e+03
  1.467970e-01   1.351365e+04   1.075088e+03
  1.494400e-01   1.568821e+04   1.123456e+03
  1.520830e-01   1.317313e+04   1.041428e+03
  1.547270e-01   1.446703e+04   1.081317e+03
  1.573700e-01   1.382662e+04   1.045194e+03
  1.600130e-01   1.058689e+04   9.044994e+02
  1.626570e-01   1.064641e+04   8.934272e+02
  1.653000e-01   1.205515e+04   9.651844e+02
  1.679440e-01   1.282727e+04   9.724328e+02
  1.705870e-01   1.345591e+04   1.000170e+03
  1.732300e-01   1.334119e+04   9.835252e+02
  1.758740e-01   1.280079e+04   9.594598e+02
  1.785170e-01   1.330419e+04   9.781437e+02
  1.811610e-01   1.220309e+04   9.146601e+02
  1.838040e-01   1.269714e+04   9.516909e+02
  1.864470e-01   1.238841e+04   9.233772e+02
  1.890910e-01   1.272860e+04   9.234299e+02
  1.917340e-01   1.161103e+04   8.853329e+02
  1.943780e-01   1.107669e+04   8.470558e+02
  1.970210e-01   1.255612e+04   9.206591e+02
  1.996640e-01   1.044093e+04   8.254278e+02
  2.023080e-01   1.042893e+04   8.219150e+02
  2.049510e-01   1.033486e+04   8.021406e+02
  2.075950e-01   1.060802e+04   8.041918e+02
  2.102380e-01   1.007709e+04   7.991653e+02
  2.128810e-01   9.729046e+03   7.597109e+02
  2.155250e-01   1.184836e+04   8.528637e+02
  2.181680e-01   1.041402e+04   7.940614e+02
  2.208110e-01   1.035715e+04   7.851738e+02
  2.234550e-01   1.150386e+04   8.345775e+02
  2.260980e-01   1.051460e+04   7.730490e+02
  2.287420e-01   1.059447e+04   7.810347e+02
  2.313850e-01   1.078603e+04   7.804498e+02
  2.340280e-01   1.038066e+04   7.632013e+02
  2.366720e-01   1.096929e+04   7.895867e+02
  2.393150e-01   1.080054e+04   7.675611e+02
  2.419590e-01   1.161636e+04   8.035201e+02
  2.446020e-01   1.059273e+04   7.508988e+02
  2.472450e-01   1.161994e+04   7.924730e+02
  2.498890e-01   1.093783e+04   7.676851e+02
  2.525320e-01   1.160785e+04   7.755824e+02
  2.551760e-01   9.836411e+03   7.291233e+02
  2.578190e-01   1.051137e+04   7.253537e+02
  2.604620e-01   1.067358e+04   7.383069e+02
  2.631060e-01   9.868743e+03   7.140772e+02
  2.657490e-01   9.967357e+03   7.083492e+02
  2.683920e-01   9.342674e+03   6.887511e+02
  2.710360e-01   1.040687e+04   7.097423e+02
  2.736790e-01   1.113565e+04   7.423763e+02
  2.763230e-01   9.922825e+03   6.930402e+02
  2.789660e-01   1.104192e+04   7.280827e+02
  2.816090e-01   1.049442e+04   7.107715e+02
  2.842530e-01   1.140057e+04   7.328565e+02
  2.868960e-01   1.094590e+04   7.249102e+02
  2.895400e-01   1.078250e+04   7.033728e+02
  2.921830e-01   1.111569e+04   7.160247e+02
  2.948260e-01   1.063618e+04   7.013290e+02
  2.974700e-01   1.044429e+04   6.886762e+02
  3.001130e-01   1.074671e+04   7.040402e+02
  3.027570e-01   1.159958e+04   7.139051e+02
  3.054000e-01   9.907922e+03   6.664790e+02
  3.080430e-01   1.116456e+04   6.977848e+02
  3.106870e-01   9.788370e+03   6.599317e+02
  3.133300e-01   1.002464e+04   6.595729e+02
  3.159740e-01   9.500066e+03   6.305415e+02
  3.186170e-01   1.054540e+04   6.764878e+02
  3.212600e-01   9.690486e+03   6.375872e+02
  3.239040e-01   9.340227e+03   6.297180e+02
  3.265470e-01   1.105427e+04   6.842421e+02
  3.291900e-01   1.106787e+04   6.710879e+02
  3.318340e-01   9.905455e+03   6.461607e+02
  3.344770e-01   1.038555e+04   6.478328e+02
  3.371210e-01   9.606683e+03   6.266709e+02
  3.397640e-01   9.530313e+03   6.177584e+02
  3.424070e-01   1.016939e+04   6.331188e+02
  3.450510e-01   9.318166e+03   6.157618e+02
  3.476940e-01   1.032577e+04   6.295733e+02
  3.503380e-01   1.130954e+04   6.699190e+02
  3.529810e-01   9.749216e+03   6.178315e+02
  3.556240e-01   1.063353e+04   6.423952e+02
  3.582680e-01   1.044807e+04   6.346749e+02
  3.609110e-01   1.046603e+04   6.277105e+02
  3.635550e-01   1.081604e+04   6.429470e+02
  3.661980e-01   1.172131e+04   6.593755e+02
  3.688410e-01   1.042838e+04   6.265805e+02
  3.714850e-01   1.019468e+04   6.136476e+02
  3.741280e-01   1.029305e+04   6.140319e+02
  3.767710e-01   1.005739e+04   6.120735e+02
  3.794150e-01   9.656257e+03   5.898498e+02
  3.820580e-01   9.926750e+03   6.030071e+02
  3.847020e-01   9.500824e+03   5.803552e+02
  3.873450e-01   1.016069e+04   6.050602e+02
  3.899880e-01   1.173415e+04   6.469249e+02
  3.926320e-01   1.049499e+04   6.039186e+02
  3.952750e-01   1.072774e+04   6.173119e+02
  3.979190e-01   1.068134e+04   6.056834e+02
  4.005620e-01   1.066971e+04   6.119500e+02
  4.032050e-01   9.554955e+03   5.689893e+02
  4.058490e-01   1.023811e+04   5.901146e+02
  4.084920e-01   1.079429e+04   6.130744e+02
  4.111360e-01   1.081400e+04   6.035784e+02
  4.137790e-01   1.138253e+04   6.228243e+02
