
Sample:   c= .0000 mg/ml  Code: NAPI
  2.520060e-02   5.051285e+07   2.855338e+05
  2.784400e-02   7.595426e+06   6.120370e+04
  3.048740e-02   3.125639e+06   3.679005e+04
  3.313080e-02   1.412796e+06   2.310169e+04
  3.577420e-02   6.253490e+05   1.433895e+04
  3.841750e-02   4.391699e+05   1.212917e+04
  4.106090e-02   2.801248e+05   8.885019e+03
  4.370430e-02   2.197106e+05   7.807075e+03
  4.634770e-02   1.696264e+05   6.379457e+03
  4.899110e-02   1.364057e+05   5.434532e+03
  5.163450e-02   1.308870e+05   5.198187e+03
  5.427790e-02   1.077817e+05   4.396507e+03
  5.692130e-02   9.376537e+04   4.164266e+03
  5.956470e-02   7.334056e+04   3.488455e+03
  6.220810e-02   7.871113e+04   3.412560e+03
  6.485140e-02   6.790275e+04   3.251952e+03
  6.749480e-02   6.166601e+04   2.890947e+03
  7.013820e-02   5.119870e+04   2.654529e+03
  7.278160e-02   4.768322e+04   2.459074e+03
  7.542500e-02   4.280510e+04   2.281520e+03
  7.806840e-02   4.134747e+04   2.219649e+03
  8.071180e-02   3.756569e+04   2.016632e+03
  8.335520e-02   3.429575e+04   1.944733e+03
  8.599860e-02   3.034762e+04   1.769909e+03
  8.864200e-02   3.002903e+04   1.814120e+03
  9.128530e-02   2.723810e+04   1.733119e+03
  9.392870e-02   2.635928e+04   1.694439e+03
  9.657210e-02   2.441229e+04   1.645876e+03
  9.921550e-02   2.449250e+04   1.618510e+03
  1.018590e-01   2.126143e+04   1.526482e+03
  1.045020e-01   2.250266e+04   1.524072e+03
  1.071460e-01   2.130527e+04   1.491667e+03
  1.097890e-01   2.145776e+04   1.528802e+03
  1.124320e-01   1.824484e+04   1.337777e+03
  1.150760e-01   1.875746e+04   1.371681e+03
  1.177190e-01   1.900878e+04   1.354319e+03
  1.203630e-01   1.685162e+04   1.300131e+03
  1.230060e-01   1.885157e+04   1.371250e+03
  1.256490e-01   1.728470e+04   1.274245e+03
  1.282930e-01   1.626711e+04   1.229678e+03
  1.309360e-01   1.602447e+04   1.207890e+03
  1.335800e-01   1.654598e+04   1.240173e+03
  1.362230e-01   1.453423e+04   1.124693e+03
  1.388660e-01   1.587135e+04   1.192964e+03
  1.415100e-01   1.381869e+04   1.099356e+03
  1.441530e-01   1.116943e+04   9.648916e+02
  1.467970e-01   1.516880e+04   1.143391e+03
  1.494400e-01   1.337659e+04   1.041366e+03
  1.520830e-01   1.194688e+04   9.955732e+02
